2026-04-28 20:30:50,748 INFO: $BTCUSDT | $15m | $HOLD | Price : $76367.1
2026-04-28 20:30:51,287 INFO: $BTCUSDT | $1h | $HOLD | Price : $76330.97
2026-04-28 20:30:51,809 INFO: $ETHUSDT | $30m | $HOLD | Price : $2297.48
2026-04-28 20:30:52,351 INFO: $ETHUSDT | $1h | $HOLD | Price : $2301.96
2026-04-28 20:55:47,511 INFO: $BTCUSDT | $15m | $BUY | Price : $76415.64
2026-04-28 20:55:48,579 INFO: $BTCUSDT | $1h | $HOLD | Price : $76330.97
2026-04-28 20:55:49,481 INFO: $ETHUSDT | $30m | $HOLD | Price : $2297.48
2026-04-28 20:55:50,379 INFO: $ETHUSDT | $1h | $HOLD | Price : $2301.96
2026-04-28 21:48:37,492 INFO: $BTCUSDT | $15m | $HOLD | Price : $76315.82
2026-04-28 21:48:38,002 INFO: $BTCUSDT | $1h | $HOLD | Price : $76463.95
2026-04-28 21:48:38,738 INFO: $ETHUSDT | $30m | $HOLD | Price : $2287.83
2026-04-28 21:48:39,443 INFO: $ETHUSDT | $1h | $HOLD | Price : $2295.55
2026-04-28 22:43:25,291 INFO: $BTCUSDT | $15m | $HOLD | Price : $76329.44
2026-04-28 22:43:26,036 INFO: $BTCUSDT | $1h | $HOLD | Price : $76357.15
2026-04-28 22:43:26,942 INFO: $ETHUSDT | $30m | $HOLD | Price : $2289.27
2026-04-28 22:43:27,710 INFO: $ETHUSDT | $1h | $HOLD | Price : $2290.12
2026-04-28 23:37:16,425 INFO: $BTCUSDT | $15m | $HOLD | Price : $76285.52
2026-04-28 23:37:17,342 INFO: $BTCUSDT | $1h | $HOLD | Price : $76242.17
2026-04-28 23:37:18,351 INFO: $ETHUSDT | $30m | $HOLD | Price : $2286.04
2026-04-28 23:37:18,911 INFO: $ETHUSDT | $1h | $HOLD | Price : $2286.18
2026-04-29 01:21:59,275 INFO: $BTCUSDT | $15m | $HOLD | Price : $76359.67
2026-04-29 01:21:59,949 INFO: $BTCUSDT | $1h | $HOLD | Price : $76512.0
2026-04-29 01:22:00,689 INFO: $ETHUSDT | $30m | $HOLD | Price : $2292.4
2026-04-29 01:22:01,366 INFO: $ETHUSDT | $1h | $HOLD | Price : $2292.4
2026-04-29 04:43:27,867 INFO: $BTCUSDT | $15m | $BUY | Price : $77041.81
2026-04-29 04:43:28,487 INFO: $BTCUSDT | $1h | $HOLD | Price : $76994.78
2026-04-29 04:43:29,046 INFO: $ETHUSDT | $30m | $HOLD | Price : $2314.54
2026-04-29 04:43:29,510 INFO: $ETHUSDT | $1h | $BUY | Price : $2311.52
2026-04-29 07:09:35,631 INFO: $BTCUSDT | $15m | $HOLD | Price : $77031.06
2026-04-29 07:09:36,116 INFO: $BTCUSDT | $1h | $HOLD | Price : $77031.06
2026-04-29 07:09:37,009 INFO: $ETHUSDT | $30m | $HOLD | Price : $2324.58
2026-04-29 07:09:37,483 INFO: $ETHUSDT | $1h | $HOLD | Price : $2324.58
2026-04-29 09:22:17,040 INFO: $BTCUSDT | $15m | $HOLD | Price : $77072.95
2026-04-29 09:22:17,588 INFO: $BTCUSDT | $1h | $HOLD | Price : $77046.32
2026-04-29 09:22:18,131 INFO: $ETHUSDT | $30m | $HOLD | Price : $2325.33
2026-04-29 09:22:18,716 INFO: $ETHUSDT | $1h | $HOLD | Price : $2325.33
2026-04-29 11:12:01,572 INFO: $BTCUSDT | $15m | $HOLD | Price : $77619.61
2026-04-29 11:12:02,210 INFO: $BTCUSDT | $1h | $HOLD | Price : $77619.61
2026-04-29 11:12:02,869 INFO: $ETHUSDT | $30m | $HOLD | Price : $2333.68
2026-04-29 11:12:03,511 INFO: $ETHUSDT | $1h | $HOLD | Price : $2333.68
2026-04-29 12:52:24,439 INFO: $BTCUSDT | $15m | $HOLD | Price : $77162.2
2026-04-29 12:52:25,067 INFO: $BTCUSDT | $1h | $HOLD | Price : $77590.03
2026-04-29 12:52:25,674 INFO: $ETHUSDT | $30m | $HOLD | Price : $2314.8
2026-04-29 12:52:26,344 INFO: $ETHUSDT | $1h | $HOLD | Price : $2331.74
2026-04-29 15:01:03,996 INFO: $BTCUSDT | $15m | $HOLD | Price : $76570.0
2026-04-29 15:01:04,567 INFO: $BTCUSDT | $1h | $HOLD | Price : $76570.0
2026-04-29 15:01:05,044 INFO: $ETHUSDT | $30m | $HOLD | Price : $2299.39
2026-04-29 15:01:05,500 INFO: $ETHUSDT | $1h | $HOLD | Price : $2299.39
2026-04-29 16:51:29,924 INFO: $BTCUSDT | $15m | $HOLD | Price : $75887.34
2026-04-29 16:51:30,615 INFO: $BTCUSDT | $1h | $HOLD | Price : $75924.25
2026-04-29 16:51:31,556 INFO: $ETHUSDT | $30m | $HOLD | Price : $2273.79
2026-04-29 16:51:32,244 INFO: $ETHUSDT | $1h | $HOLD | Price : $2272.51
2026-04-29 18:06:51,423 INFO: $BTCUSDT | $15m | $HOLD | Price : $76184.01
2026-04-29 18:06:52,092 INFO: $BTCUSDT | $1h | $HOLD | Price : $76184.01
